Species,Class,Category,Habitat,PopTrend,Rep_AOO_km2,Rep_EOO_km2,Elev_lower,Elev_upper,ForestDependency,Unprotected_nPixels,PA_nPixels,IL_nPixels,PIA_nPixels,total_nPixels,fracPA,fracIL,fracPIA,fracUnPro,ThreatScore,Threat,fracIPL,percentHabitat_IPL
Muntiacus putaoensis,MAMMALIA,DD,Forest important,Decreasing,NA,NA,702,1228,NA,2484,0,22984,5792,31260,0,0.735252719,0.185284709,0.079462572,16,Data Deficient,0.920537428,99
Proechimys steerei,MAMMALIA,LC,Forest unimportant,Unknown,NA,NA,50,400,NA,814299,407131,96874,331242,1649546,0.246813972,0.058727674,0.20080798,0.493650374,2,Not Threatened,0.259535654,40
Microgale gymnorhyncha,MAMMALIA,LC,Forest important,Decreasing,NA,NA,970,1990,NA,18045,4365,0,0,22410,0.194779116,0,0,0.805220884,2,Not Threatened,0,0
Paragalago granti,MAMMALIA,LC,Forest important,Decreasing,NA,NA,0,1800,NA,156329,57996,0,0,214325,0.27059839,0,0,0.72940161,2,Not Threatened,0,0
Peromyscus mayensis,MAMMALIA,CR,Forest important,Decreasing,NA,89.08,2900,3000,NA,0,0,3,0,3,0,1,0,0,32,Threatened,1,100
Nomascus annamensis,MAMMALIA,EN,Forest important,Decreasing,NA,NA,100,1200,NA,2676,5309,15987,8255,32227,0.164737642,0.49607472,0.256151674,0.083035964,16,Threatened,0.752226394,80
Pithecia rylandsi,MAMMALIA,VU,Forest unimportant,Decreasing,NA,NA,1,200,NA,53736,7053,11775,13190,85754,0.082246892,0.137311379,0.153812067,0.626629662,8,Threatened,0.291123446,40
Piliocolobus parmentieri,MAMMALIA,EN,Forest important,Decreasing,NA,10000,NA,NA,NA,20820,87,1841,0,22748,0.003824512,0.080930192,0,0.915245296,16,Threatened,0.080930192,20
Oecomys paricola,MAMMALIA,DD,Forest important,Unknown,NA,3908032,NA,NA,NA,2060585,596291,44981,589314,3291171,0.181178979,0.013667172,0.179059064,0.626094785,3,Data Deficient,0.192726236,20
Plecturocebus discolor,MAMMALIA,LC,Forest unimportant,Unknown,NA,NA,173,980,NA,81694,33257,97031,16980,228962,0.145251177,0.42378648,0.074160778,0.356801565,2,Not Threatened,0.497947258,60
Murina ryukyuana,MAMMALIA,EN,Forest unimportant,Decreasing,310,5251,NA,NA,NA,1231,212,0,0,1443,0.146916147,0,0,0.853083853,16,Threatened,0,0
Muntiacus truongsonensis,MAMMALIA,DD,Forest important,Decreasing,NA,NA,NA,NA,NA,28,52,7879,1030,8989,0.005784848,0.876515741,0.114584492,0.003114918,3,Data Deficient,0.991100234,99
Proechimys trinitatis,MAMMALIA,DD,Forest unimportant,Unknown,NA,NA,NA,1300,NA,9948,7528,941,74,18491,0.407116976,0.050889622,0.004001947,0.537991455,8,Data Deficient,0.054891569,20
Microgale jobihely,MAMMALIA,EN,Forest important,Unknown,282,9000,NA,NA,NA,1113,355,0,0,1468,0.241825613,0,0,0.758174387,16,Threatened,0,0
Pithecia vanzolinii,MAMMALIA,DD,Forest unimportant,Decreasing,NA,NA,1,200,NA,13440,46,110,4758,18354,0.002506266,0.005993244,0.259235044,0.732265446,8,Data Deficient,0.265228288,40
Paragalago orinus,MAMMALIA,VU,Forest important,Decreasing,1388,NA,600,2300,NA,7529,4178,0,2,11709,0.356819541,0,1.71E-04,0.643009651,8,Threatened,1.71E-04,20
Peromyscus megalops,MAMMALIA,LC,Forest unimportant,Unknown,NA,77960,1500,3000,NA,5529,68,10080,228,15905,0.004275385,0.633762968,0.014335115,0.347626533,2,Not Threatened,0.648098082,80
Nomascus concolor,MAMMALIA,CR,Forest important,Decreasing,NA,NA,500,2700,NA,5228,4,15694,4636,25562,1.56E-04,0.613958219,0.181362961,0.204522338,32,Threatened,0.79532118,80
Pseudochirulus schlegeli,MAMMALIA,VU,Forest unimportant,Decreasing,NA,11536,750,1900,NA,102,250,3932,4886,9170,0.027262814,0.428789531,0.532824427,0.011123228,8,Threatened,0.961613959,99
Piliocolobus pennantii,MAMMALIA,CR,Forest important,Decreasing,NA,NA,0,1200,NA,2,178,0,0,180,0.988888889,0,0,0.011111111,32,Threatened,0,0
Oecomys phaeotis,MAMMALIA,LC,Forest unimportant,Stable,NA,167788,1500,2000,NA,8240,4452,3085,39,15816,0.281487102,0.19505564,0.002465857,0.520991401,2,Not Threatened,0.197521497,20
Plecturocebus donacophilus,MAMMALIA,LC,Forest unimportant,Unknown,NA,NA,NA,NA,NA,111274,30665,29838,27666,199443,0.153753203,0.149606655,0.138716325,0.557923818,2,Not Threatened,0.288322979,40
Muntiacus vuquangensis,MAMMALIA,CR,Forest important,Decreasing,NA,NA,NA,NA,NA,30271,7262,71124,24148,132805,0.054681676,0.535552125,0.181830503,0.227935695,32,Threatened,0.717382629,80
Potos flavus,MAMMALIA,LC,Forest important,Decreasing,NA,NA,0,2500,NA,4398851,1909023,1119306,1722749,9149929,0.208638012,0.122329474,0.18828004,0.480752474,2,Not Threatened,0.310609514,40
Prolemur simus,MAMMALIA,CR,Forest important,Decreasing,NA,30552,20,1600,NA,1568,692,0,0,2260,0.30619469,0,0,0.69380531,32,Threatened,0,0
Platacanthomys lasiurus,MAMMALIA,VU,Forest important,Decreasing,NA,57440,600,2000,NA,12717,6815,0,0,19532,0.348914602,0,0,0.651085398,8,Threatened,0,0
Microgale longicaudata,MAMMALIA,LC,Forest important,Decreasing,NA,NA,530,2500,NA,267,273,0,0,540,0.505555556,0,0,0.494444444,2,Not Threatened,0,0
Pseudohydromys berniceae,MAMMALIA,LC,Forest important,Unknown,NA,42800,590,1570,NA,17962,1740,0,0,19702,0.088315907,0,0,0.911684093,2,Not Threatened,0,0
Piliocolobus preussi,MAMMALIA,CR,Forest important,Decreasing,NA,NA,50,1000,NA,3389,1821,0,0,5210,0.349520154,0,0,0.650479846,32,Threatened,0,0
Peromyscus mekisturus,MAMMALIA,CR,Forest unimportant,Unknown,NA,490.2225,NA,NA,NA,5563,1058,2145,106,8872,0.119251578,0.241771867,0.011947701,0.627028855,32,Threatened,0.253719567,40
Paragalago rondoensis,MAMMALIA,EN,Forest important,Decreasing,356,NA,200,900,NA,85,44,0,0,129,0.341085271,0,0,0.658914729,16,Threatened,0,0
Nomascus gabriellae,MAMMALIA,EN,Forest important,Decreasing,NA,NA,NA,1650,NA,8033,2808,9318,7127,27286,0.102909917,0.341493806,0.261196218,0.294400059,16,Threatened,0.602690024,80
Oecomys roberti,MAMMALIA,LC,Forest unimportant,Unknown,NA,4591602,NA,NA,NA,2494415,875910,106880,946555,4423760,0.198001248,0.024160443,0.213970695,0.563867615,2,Not Threatened,0.238131137,40
Plecturocebus dubius,MAMMALIA,LC,Forest unimportant,Unknown,NA,NA,NA,NA,NA,70812,53451,204,22194,146661,0.364452717,0.001390963,0.151328574,0.482827746,2,Not Threatened,0.152719537,20
Murexia longicaudata,MAMMALIA,LC,Forest unimportant,Unknown,NA,NA,0,1800,NA,309599,15508,112796,39629,477532,0.032475311,0.23620616,0.082987109,0.648331421,2,Not Threatened,0.319193269,40
Promops davisoni,MAMMALIA,DD,Forest unimportant,Unknown,NA,NA,85,2400,NA,31831,2453,4467,449,39200,0.062576531,0.113954082,0.011454082,0.812015306,8,Data Deficient,0.125408163,20
Platyrrhinus albericoi,MAMMALIA,LC,Forest important,Unknown,NA,NA,1480,2500,NA,39089,26962,5431,1717,73199,0.368338365,0.074195003,0.023456605,0.534010027,2,Not Threatened,0.097651607,20
Murina tubinaris,MAMMALIA,DD,Forest important,Unknown,NA,NA,1200,2650,NA,3483,93,1492,2,5070,0.018343195,0.294280079,3.94E-04,0.686982249,3,Data Deficient,0.294674556,40
Pseudohydromys carlae,MAMMALIA,DD,Forest unimportant,Unknown,NA,NA,NA,NA,NA,401,119,0,0,520,0.228846154,0,0,0.771153846,8,Data Deficient,0,0
Piliocolobus semlikiensis,MAMMALIA,VU,Forest important,Decreasing,NA,NA,550,2400,NA,27198,14493,16191,1437,59319,0.244323067,0.272947959,0.024224953,0.458504021,8,Threatened,0.297172913,40
Microgale majori,MAMMALIA,LC,Forest important,Decreasing,NA,NA,800,2500,NA,35993,7844,0,0,43837,0.178935602,0,0,0.821064398,2,Not Threatened,0,0
Peromyscus melanocarpus,MAMMALIA,EN,Forest unimportant,Unknown,NA,4038.14,NA,NA,NA,222,0,4783,12,5017,0,0.953358581,0.002391868,0.044249552,16,Threatened,0.955750448,99
Paragalago zanzibaricus,MAMMALIA,NT,Forest important,Decreasing,NA,138887,0,1100,NA,2505,865,0,0,3370,0.256676558,0,0,0.743323442,4,Not Threatened,0,0
Nomascus hainanus,MAMMALIA,CR,Forest important,Stable,NA,NA,650,1200,NA,0,0,35,0,35,0,1,0,0,32,Threatened,1,100
Oecomys rutilus,MAMMALIA,LC,Forest unimportant,Unknown,NA,1260079,NA,NA,NA,556927,399236,86440,349399,1392002,0.286807059,0.062097612,0.251004668,0.400090661,2,Not Threatened,0.31310228,40
Murexia melanurus,MAMMALIA,LC,Forest unimportant,Stable,NA,NA,0,2800,NA,267605,10280,51468,26016,355369,0.028927678,0.14482974,0.073208412,0.75303417,2,Not Threatened,0.218038152,40
Plecturocebus grovesi,MAMMALIA,CR,Forest important,Decreasing,NA,133522,100,200,NA,179,679,49,10595,11502,0.059033212,0.004260129,0.921144149,0.015562511,32,Threatened,0.925404278,99
Propithecus candidus,MAMMALIA,CR,Forest important,Decreasing,NA,3464,235,1875,NA,1003,782,0,0,1785,0.438095238,0,0,0.561904762,32,Threatened,0,0
Platyrrhinus angustirostris,MAMMALIA,LC,Forest unimportant,Stable,NA,NA,150,1300,NA,130943,56637,57742,88970,334292,0.169423737,0.172729231,0.266144568,0.391702464,2,Not Threatened,0.438873799,60
Praomys degraaffi,MAMMALIA,VU,Forest unimportant,Decreasing,NA,NA,1900,2600,NA,61,2,24,35,122,0.016393443,0.196721311,0.286885246,0.5,8,Threatened,0.483606557,60
Pseudohydromys eleanorae,MAMMALIA,DD,Forest important,Unknown,NA,NA,2440,3050,NA,2855,0,0,0,2855,0,0,0,1,8,Data Deficient,0,0
Piliocolobus tholloni,MAMMALIA,VU,Forest important,Decreasing,NA,NA,NA,NA,NA,283594,75505,161774,64584,585457,0.128967627,0.276320891,0.110313823,0.484397659,8,Threatened,0.386634714,40
Peromyscus melanurus,MAMMALIA,EN,Forest important,Stable,NA,4066.07,700,1900,NA,362,0,1816,0,2178,0,0.83379247,0,0.16620753,16,Threatened,0.83379247,99
Nomascus leucogenys,MAMMALIA,CR,Forest important,Decreasing,NA,NA,200,1400,NA,3359,1259,12496,9891,27005,0.046620996,0.462729124,0.366265506,0.124384373,32,Threatened,0.828994631,99
Microgale monticola,MAMMALIA,VU,Forest important,Stable,NA,NA,1500,1950,NA,66,71,0,0,137,0.518248175,0,0,0.481751825,8,Threatened,0,0
Paraleptomys rufilatus,MAMMALIA,EN,Forest unimportant,Unknown,200,6478,1200,1700,NA,75,53,0,0,128,0.4140625,0,0,0.5859375,16,Threatened,0,0
Murexia naso,MAMMALIA,LC,Forest unimportant,Unknown,NA,NA,1400,2800,NA,65695,3574,17243,7740,94252,0.03791962,0.18294572,0.082120273,0.697014387,2,Not Threatened,0.265065993,40
Oecomys speciosus,MAMMALIA,LC,Forest unimportant,Stable,NA,864458,NA,NA,NA,213324,44000,110293,85091,452708,0.097192893,0.243629448,0.18796001,0.47121765,2,Not Threatened,0.431589457,60
Platyrrhinus aquilus,MAMMALIA,DD,Forest unimportant,Unknown,NA,NA,1250,1433,NA,7,67,1,73,148,0.452702703,0.006756757,0.493243243,0.047297297,8,Data Deficient,0.5,60
Propithecus coquereli,MAMMALIA,CR,Forest important,Decreasing,NA,27662,7,380,NA,1451,956,0,0,2407,0.397174907,0,0,0.602825093,32,Threatened,0,0
Plecturocebus hoffmannsi,MAMMALIA,LC,Forest unimportant,Unknown,NA,NA,NA,NA,NA,52355,48811,663,7521,109350,0.446374028,0.0060631,0.06877915,0.478783722,2,Not Threatened,0.07484225,20
Pseudohydromys ellermani,MAMMALIA,LC,Forest unimportant,Unknown,NA,165000,1200,3000,NA,77657,4413,1889,3267,87226,0.050592713,0.021656387,0.037454429,0.890296471,2,Not Threatened,0.059110816,20
Murina walstoni,MAMMALIA,DD,Forest unimportant,Unknown,NA,NA,0,NA,NA,17101,17064,21395,16422,71982,0.237059265,0.297227085,0.228140368,0.237573282,8,Data Deficient,0.525367453,60
Nomascus nasutus,MAMMALIA,CR,Forest important,Decreasing,NA,NA,50,930,NA,0,0,5818,78,5896,0,0.986770692,0.013229308,0,32,Threatened,1,100
Platyrrhinus aurarius,MAMMALIA,LC,Forest unimportant,Stable,NA,NA,500,2600,NA,13597,1571,35927,116873,167968,0.009352972,0.213891932,0.695805153,0.080949943,2,Not Threatened,0.909697085,99
Murexia rothschildi,MAMMALIA,NT,Forest unimportant,Unknown,NA,NA,600,1400,NA,7712,103,0,0,7815,0.013179782,0,0,0.986820218,4,Not Threatened,0,0
Propithecus coronatus,MAMMALIA,CR,Forest important,Decreasing,NA,68644,0,1100,NA,1139,58,0,0,1197,0.04845447,0,0,0.95154553,32,Threatened,0,0
Peromyscus ochraventer,MAMMALIA,EN,Forest important,Unknown,NA,4659.512,700,1300,NA,1342,278,0,0,1620,0.171604938,0,0,0.828395062,16,Threatened,0,0
Oecomys trinitatis,MAMMALIA,LC,Forest unimportant,Stable,NA,13765638,NA,NA,NA,4029348,845293,474165,409973,5758779,0.146783372,0.082337766,0.071190959,0.699687903,2,Not Threatened,0.153528725,20
Plecturocebus miltoni,MAMMALIA,DD,Forest unimportant,Unknown,NA,NA,NA,NA,NA,28008,14004,3099,29961,75072,0.186540921,0.041280371,0.399096867,0.373081841,8,Data Deficient,0.440377238,60
Paraleptomys wilhelmina,MAMMALIA,DD,Forest unimportant,Unknown,NA,NA,1800,2800,NA,1144,180,391,17,1732,0.103926097,0.225750577,0.009815242,0.660508083,16,Data Deficient,0.23556582,40
Pseudohydromys germani,MAMMALIA,DD,Forest unimportant,Unknown,NA,7825,1300,1570,NA,920,51,0,0,971,0.052523172,0,0,0.947476828,8,Data Deficient,0,0
Microgale nasoloi,MAMMALIA,VU,Forest important,Decreasing,NA,13000,780,1050,NA,37,0,0,0,37,0,0,0,1,8,Threatened,0,0
Praomys delectorum,MAMMALIA,LC,Forest unimportant,Stable,NA,703413,1000,2200,NA,17174,1570,631,123,19498,0.080521079,0.032362294,0.006308339,0.880808288,2,Not Threatened,0.038670633,20
Nomascus siki,MAMMALIA,CR,Forest important,Decreasing,NA,NA,30,1800,NA,3065,1603,14312,10802,29782,0.053824458,0.480558727,0.362702303,0.102914512,32,Threatened,0.84326103,99
Platyrrhinus chocoensis,MAMMALIA,VU,Forest important,Decreasing,NA,NA,0,1000,NA,53786,6631,9198,82,69697,0.095140393,0.131971247,0.001176521,0.771711838,8,Threatened,0.133147768,20
Murina aenea,MAMMALIA,VU,Forest unimportant,Decreasing,NA,NA,0,1200,NA,38188,3456,119486,10903,172033,0.020089169,0.694552789,0.063377375,0.221980667,8,Threatened,0.757930165,80
Propithecus deckenii,MAMMALIA,CR,Forest important,Decreasing,NA,60736,0,1250,NA,5137,2032,0,0,7169,0.2834426,0,0,0.7165574,32,Threatened,0,0
Pteropus rennelli,MAMMALIA,EN,Forest unimportant,Decreasing,515,984,NA,NA,NA,486,214,0,0,700,0.305714286,0,0,0.694285714,16,Threatened,0,0
Peromyscus schmidlyi,MAMMALIA,LC,Forest unimportant,Unknown,NA,62344,2000,NA,NA,7662,19,544,1,8226,0.00230975,0.066131777,1.22E-04,0.931436907,2,Not Threatened,0.066253343,20
Okapia johnstoni,MAMMALIA,EN,Forest important,Decreasing,14112,383190,450,1500,NA,180369,34630,51152,15633,281784,0.122895551,0.181529114,0.055478665,0.64009667,16,Threatened,0.237007779,40
Plecturocebus moloch,MAMMALIA,LC,Forest unimportant,Unknown,NA,NA,NA,NA,NA,624982,214746,4340,273710,1117778,0.19211865,0.003882703,0.244869733,0.559128915,2,Not Threatened,0.248752436,40
Pseudohydromys murinus,MAMMALIA,LC,Forest unimportant,Unknown,NA,134593,NA,NA,NA,63550,799,0,0,64349,0.012416665,0,0,0.987583335,2,Not Threatened,0,0
Paramelomys gressitti,MAMMALIA,EN,Forest important,Unknown,NA,3468,2300,2400,NA,76,0,0,0,76,0,0,0,1,16,Threatened,0,0
Notiosorex villai,MAMMALIA,VU,Forest unimportant,Decreasing,NA,6040.406,NA,NA,NA,7907,32,0,0,7939,0.004030734,0,0,0.995969266,8,Threatened,0,0
Pteropus temminckii,MAMMALIA,VU,Forest important,Decreasing,NA,NA,0,1000,NA,7529,87,16880,1472,25968,0.003350277,0.650030807,0.056685151,0.289933765,8,Threatened,0.706715958,80
Murina aurata,MAMMALIA,DD,Forest important,Unknown,NA,NA,1154,2300,NA,36026,0,11432,78,47536,0,0.240491417,0.001640862,0.757867721,3,Data Deficient,0.242132279,40
Propithecus diadema,MAMMALIA,CR,Forest important,Decreasing,NA,44292,200,1650,NA,12737,2037,0,0,14774,0.137877352,0,0,0.862122648,32,Threatened,0,0
Microgale parvula,MAMMALIA,LC,Forest important,Decreasing,NA,NA,450,2050,NA,46796,11339,0,0,58135,0.195046014,0,0,0.804953986,2,Not Threatened,0,0
Mus bufo,MAMMALIA,LC,Forest unimportant,Stable,NA,92200,1500,NA,NA,17634,3593,9189,2476,32892,0.109236288,0.279368843,0.075276663,0.536118205,2,Not Threatened,0.354645507,40
Reithrodontomys chrysopsis,MAMMALIA,LC,Forest unimportant,Unknown,NA,75728,NA,NA,NA,55553,7789,3096,1303,67741,0.114982064,0.045703488,0.019235028,0.82007942,2,Not Threatened,0.064938516,20
Olallamys albicauda,MAMMALIA,DD,Forest unimportant,Unknown,NA,NA,2000,3200,NA,3332,980,0,0,4312,0.227272727,0,0,0.772727273,16,Data Deficient,0,0
Pseudohydromys musseri,MAMMALIA,DD,Forest important,Unknown,NA,NA,NA,NA,NA,700,0,0,0,700,0,0,0,1,8,Data Deficient,0,0
Plecturocebus oenanthe,MAMMALIA,CR,Forest important,Decreasing,NA,NA,175,1364,NA,7890,237,937,6,9070,0.026130099,0.103307607,6.62E-04,0.869900772,32,Threatened,0.103969129,20
Pteropus vetulus,MAMMALIA,NT,Forest important,Decreasing,NA,22602,0,NA,NA,8477,3146,4195,383,16201,0.194185544,0.258934634,0.023640516,0.523239306,4,Not Threatened,0.28257515,40
Nyctalus aviator,MAMMALIA,NT,Forest unimportant,Decreasing,NA,NA,NA,NA,NA,228982,175,0,0,229157,7.64E-04,0,0,0.999236331,4,Not Threatened,0,0
Praomys hartwigi,MAMMALIA,VU,Forest unimportant,Decreasing,NA,8743,2700,2900,NA,0,0,15,0,15,0,1,0,0,8,Threatened,1,100
Propithecus edwardsi,MAMMALIA,EN,Forest important,Decreasing,NA,1543,600,1600,NA,731,495,0,0,1226,0.403752039,0,0,0.596247961,16,Threatened,0,0
Reithrodontomys creper,MAMMALIA,LC,Forest unimportant,Stable,NA,16261,1300,3350,NA,2448,4819,668,2109,10044,0.479788929,0.066507368,0.209976105,0.243727599,2,Not Threatened,0.276483473,40
Paramelomys levipes,MAMMALIA,LC,Forest important,Unknown,NA,81575,0,1200,NA,31638,898,0,0,32536,0.027600197,0,0,0.972399803,2,Not Threatened,0,0
Pseudohydromys occidentalis,MAMMALIA,DD,Forest unimportant,Unknown,NA,NA,2300,3800,NA,233,552,0,265,1050,0.525714286,0,0.252380952,0.221904762,16,Data Deficient,0.252380952,40
Oligoryzomys fulvescens,MAMMALIA,LC,Forest unimportant,Stable,NA,10130742,NA,NA,NA,2001963,473450,699970,285139,3460522,0.136814619,0.202272952,0.082397685,0.578514744,2,Not Threatened,0.284670636,40
Pteropus voeltzkowi,MAMMALIA,VU,Forest unimportant,Increasing,NA,NA,0,45,NA,657,86,0,0,743,0.115746972,0,0,0.884253028,8,Threatened,0,0
Plecturocebus ornatus,MAMMALIA,VU,Forest unimportant,Decreasing,NA,NA,NA,NA,NA,20820,7832,1,0,28653,0.273339615,3.49E-05,0,0.726625484,8,Threatened,3.49E-05,20
Nycticebus bengalensis,MAMMALIA,EN,Forest important,Decreasing,NA,NA,0,2400,NA,289568,72733,827816,160862,1350979,0.053837254,0.612752678,0.119070689,0.214339379,16,Threatened,0.731823367,80
Propithecus perrieri,MAMMALIA,CR,Forest important,Decreasing,NA,283,0,400,NA,15,55,0,0,70,0.785714286,0,0,0.214285714,32,Threatened,0,0
Reithrodontomys darienensis,MAMMALIA,LC,Forest unimportant,Stable,NA,86495,NA,900,NA,15336,3371,11746,5812,36265,0.092954639,0.323893561,0.160264718,0.422887081,2,Not Threatened,0.484158279,60
Pygathrix cinerea,MAMMALIA,CR,Forest important,Decreasing,NA,NA,900,1300,NA,337,176,3803,811,5127,0.034328067,0.741759313,0.158182173,0.065730447,32,Threatened,0.899941486,99
Paramelomys moncktoni,MAMMALIA,LC,Forest unimportant,Unknown,NA,212223,0,700,NA,74806,754,0,0,75560,0.009978825,0,0,0.990021175,2,Not Threatened,0,0
Mus crociduroides,MAMMALIA,DD,Forest unimportant,Unknown,NA,NA,NA,NA,NA,716,751,862,4410,6739,0.111440867,0.127912153,0.654399763,0.106247218,16,Data Deficient,0.782311916,80
Pseudohydromys patriciae,MAMMALIA,DD,Forest important,Unknown,NA,20360,2800,NA,NA,3219,3296,1542,3273,11330,0.290909091,0.136098853,0.288879082,0.284112974,8,Data Deficient,0.424977935,60
Oligoryzomys microtis,MAMMALIA,LC,Forest unimportant,Stable,NA,2915317,NA,NA,NA,1786825,691620,219141,545378,3242964,0.213267862,0.067574293,0.168172696,0.550985148,2,Not Threatened,0.235746989,40
Plecturocebus parecis,MAMMALIA,NT,Forest important,Decreasing,NA,71427,NA,NA,NA,42705,133,108,27022,69968,0.001900869,0.001543563,0.386205122,0.610350446,4,Not Threatened,0.387748685,40
Nycticebus pygmaeus,MAMMALIA,EN,Forest important,Decreasing,NA,NA,50,1500,NA,42133,13352,208799,47314,311598,0.042850082,0.670090951,0.15184308,0.135215887,16,Threatened,0.82193403,99
Praomys lukolelae,MAMMALIA,LC,Forest unimportant,Unknown,NA,208709,NA,NA,NA,174792,23339,30915,16916,245962,0.094888641,0.125690147,0.068774851,0.71064636,2,Not Threatened,0.194464999,20
Prosciurillus abstrusus,MAMMALIA,DD,Forest unimportant,Unknown,NA,NA,1500,2000,NA,0,0,443,0,443,0,1,0,0,16,Data Deficient,1,100
Reithrodontomys microdon,MAMMALIA,LC,Forest important,Decreasing,NA,274424,NA,NA,NA,49168,10448,33170,5100,97886,0.106736408,0.338863576,0.052101424,0.502298592,2,Not Threatened,0.390965,40
Pygathrix nemaeus,MAMMALIA,CR,Forest important,Decreasing,NA,NA,0,1800,NA,8663,7825,40838,24308,81634,0.095854668,0.500257246,0.297768087,0.106119999,32,Threatened,0.798025333,80
Paramelomys naso,MAMMALIA,LC,Forest unimportant,Unknown,NA,265820,0,1000,NA,46609,4711,66719,9651,127690,0.03689404,0.522507636,0.075581486,0.365016838,2,Not Threatened,0.598089122,60
Oligoryzomys vegetus,MAMMALIA,LC,Forest unimportant,Stable,NA,16963,840,3000,NA,2939,4671,1454,2153,11217,0.416421503,0.129624677,0.191940804,0.262013016,2,Not Threatened,0.321565481,40
Plecturocebus toppini,MAMMALIA,LC,Forest unimportant,Decreasing,NA,NA,NA,NA,NA,179351,112215,19971,37286,348823,0.321696104,0.057252532,0.106890887,0.514160477,2,Not Threatened,0.164143419,20
Prosciurillus alstoni,MAMMALIA,NT,Forest unimportant,Unknown,NA,110326,30,1200,NA,12081,1954,30402,3151,47588,0.041060772,0.638858536,0.066214172,0.253866521,4,Not Threatened,0.705072707,80
Pygathrix nigripes,MAMMALIA,CR,Forest important,Decreasing,NA,NA,NA,2000,NA,15970,4042,22470,9636,52118,0.07755478,0.431137035,0.184888138,0.306420047,32,Threatened,0.616025174,80
Reithrodontomys musseri,MAMMALIA,DD,Forest important,Unknown,NA,162.2889,NA,NA,NA,117,111,0,0,228,0.486842105,0,0,0.513157895,8,Data Deficient,0,0
Nycticeius humeralis,MAMMALIA,LC,Forest unimportant,Stable,NA,NA,0,300,NA,490454,462,37,0,490953,9.41E-04,7.54E-05,0,0.998983609,2,Not Threatened,7.54E-05,20
Pseudohydromys sandrae,MAMMALIA,DD,Forest unimportant,Unknown,NA,NA,800,850,NA,5,0,0,0,5,0,0,0,1,8,Data Deficient,0,0
Paramelomys steini,MAMMALIA,DD,Forest unimportant,Unknown,NA,NA,2000,2600,NA,0,0,107,0,107,0,1,0,0,16,Data Deficient,1,100
Oreoryzomys balneator,MAMMALIA,DD,Forest important,Unknown,NA,86832.5,1500,1586,NA,1414,448,346,33,2241,0.199910754,0.154395359,0.014725569,0.630968318,16,Data Deficient,0.169120928,20
Rattus adustus,MAMMALIA,DD,Forest unimportant,Decreasing,NA,NA,NA,NA,NA,137,7,63,4,211,0.033175355,0.298578199,0.018957346,0.6492891,16,Data Deficient,0.317535545,40
Mus pahari,MAMMALIA,LC,Forest unimportant,Stable,NA,3000819,200,2000,NA,199974,25668,739592,112920,1078154,0.02380736,0.685979925,0.104734574,0.185478141,2,Not Threatened,0.790714499,80
Prosciurillus leucomus,MAMMALIA,LC,Forest unimportant,Unknown,NA,103506,0,1700,NA,14677,972,16106,4495,36250,0.026813793,0.444303448,0.124,0.404882759,2,Not Threatened,0.568303448,60
Reithrodontomys paradoxus,MAMMALIA,DD,Forest important,Unknown,NA,3259.006,660,750,NA,10,0,0,0,10,0,0,0,1,16,Data Deficient,0,0
Praomys morio,MAMMALIA,EN,Forest unimportant,Decreasing,NA,2922,1100,2135,NA,105,460,0,0,565,0.814159292,0,0,0.185840708,16,Threatened,0,0
Plecturocebus urubambensis,MAMMALIA,LC,Forest unimportant,Unknown,NA,NA,227,306,NA,753,82,1040,0,1875,0.043733333,0.554666667,0,0.4016,2,Not Threatened,0.554666667,60
Nyctimene cephalotes,MAMMALIA,LC,Forest important,Unknown,NA,NA,NA,NA,NA,103216,5192,118863,18755,246026,0.021103461,0.483131864,0.07623178,0.419532895,2,Not Threatened,0.559363644,60
Pseudoryx nghetinhensis,MAMMALIA,CR,Forest important,Decreasing,NA,NA,0,1500,NA,1934,964,8087,4144,15129,0.063718686,0.534536321,0.273911032,0.127833961,32,Threatened,0.808447353,99
Parascaptor leucura,MAMMALIA,LC,Forest important,Unknown,NA,925901,100,3000,NA,65981,152,148579,20509,235221,6.46E-04,0.631657037,0.087190344,0.280506417,2,Not Threatened,0.718847382,80
Rattus blangorum,MAMMALIA,DD,Forest unimportant,Unknown,NA,NA,NA,NA,NA,9,0,1056,842,1907,0,0.553749345,0.441531201,0.004719455,16,Data Deficient,0.995280545,99
Osgoodomys banderanus,MAMMALIA,LC,Forest unimportant,Unknown,NA,224283,0,1400,NA,57309,5882,10129,1031,74351,0.079111243,0.136232196,0.013866659,0.770789902,2,Not Threatened,0.150098855,20
Prosciurillus murinus,MAMMALIA,LC,Forest unimportant,Unknown,NA,NA,0,2200,NA,23338,1368,30374,7749,62829,0.021773385,0.483439176,0.123334766,0.371452673,2,Not Threatened,0.606773942,80
Reithrodontomys rodriguezi,MAMMALIA,LC,Forest unimportant,Stable,NA,1972,1500,3400,NA,376,593,0,0,969,0.611971104,0,0,0.388028896,2,Not Threatened,0,0
Plecturocebus vieirai,MAMMALIA,DD,Forest unimportant,Unknown,NA,NA,200,370,NA,344,0,0,338,682,0,0,0.495601173,0.504398827,8,Data Deficient,0.495601173,60
Nyctimene malaitensis,MAMMALIA,LC,Forest unimportant,Unknown,NA,NA,NA,NA,NA,7791,0,0,0,7791,0,0,0,1,2,Not Threatened,0,0
